Title,Abstract
"#20-11 Глинка, Сетование, 1825","вот желтеть лист , || забелеть гора ; || что ты , друг милый , || что там в шумный град ? || в благовонный май || ты с я расстаться ! || и с тот пора я , грустный , || все жить надежда … || понестись , ветер , || за крутой гора ; || отнести , ветер , || к она сухой лист . || пусть прочесть на каждый : || « так он , бедный , вянуть ; || так в он сохнуть сердце , || от любовь тосковать ! » ||"
"#20-12 Глинка, Разлука, 1825","в небо все сиять , || в поле все цвести ; || но ты не стать — || все с ты пройти . || ты , как сон крылатый , || милый , уйти ! || ты весь аромат || с себя унести . || один только дума || мой грустный удел . || скорее бы угрюмый || Борей шуметь . .. || но вечный весна || цвести все для она ! || я она один || жить — и без она ! ||"
"#20-13 Ознобишин, Сон, 1826","спать ли , Ценофила ? || милый творенье ! || о , когда бы мочь я || в легкий виденье , || для око прелестный , || ныне превратиться . || я бы оставить крыло , || и никто бы их светлый || лучший сон Зевес || близко Ценофила || не дерзнуть носиться . ||"
"#20-14 Ознобишин, Весна, 1826","хлад зима сокрыться , || расцвести долина , || с юный весна || пробудиться зефир , || легкий крыло || веять аромат || с лилия и ясмин . || весь цветок прелестный || я мой Корина , || на уста прекрасный || я срывать роза , || и счастливец - смертный , || в радостный восторг || жизнь позабывать . ||"
"#20-15 Ознобишин, Совет, 1826","только час полночь || тихо прозвучать , || и ревнивец око || сон обременить , — || тень незаметный || в уголок приветный || я прокрасться твой , || и спасть запор || тихо пред я . || ты открыть взор || томный от сон , || улыбнуться нежно || и рука снежный || обвить я . || миг очарованье ! || я твой дыханье || страстный , быть пить ! || но , мой друг стыдливый , || сбросить покров ревнивый ! || чтобы милый быть , || в тайный свиданье , || в тишина ночной , || быть всегда с я || в легкий одеянье || грация младой . ||"
"#20-16 Ознобишин, Нама, 1826","уста ее дыханье — || мускус благовонный , || а ланита — роза ; || зуб — млечный перл , || стан — лоза стройный ; || бедро округленный — || холмик песочный ; || локон густой — || мрак осенний ночь , || а лицо сиять || словно полный месяц . ||"
"#20-17 Хомяков, Молодость, 1827","небо , дать я длань || мощный титан ! || я схватить природа || в пламенный объятье ; || я прижать природа || к трепетный сердце , || и она желанье || сердце отозваться || юный любовь . || в она все дышать страсть , || все кипеть и блистать , || и ничто не дремать || хладный дремота . || на земля пылать || грозный вулкан ; || с шум литься река || к бездна океан , || и в лазурный море || волна резво плескать || бурный игра . || и земля и море || светлый мечта , || радость , надежда , || слава и краса || смертный дарить . || звезда в синий твердь || мчаться за звезда , || и в поток свет || литься по эфир || тайный страсть голос , || тайный призванье . || и век проходить , || и век родиться , - || вечный борение , || пламенный жизнь . || небо , дать я длань || мощный титан : || я хотеть природа , || как любовник страстный , || радостно обнять . ||"
"#20-18 Ознобишин, Водяной дух, 1829","не ходить к поток — || он шуметь , бежать , || там неподалеку || водяной сторожить . || он на дно золотой || неприметный день . || солнце лишь к закат — || он вставать из река , || тяжелый пята || класть на песок || и , луна озарить , || погружаться в сон . || до утро косматый || там спокойно спать , || рой дух крылатый || вкруг он сторожить , || чтобы случайно волна || не встревожить сон . ||"
"#20-19 Вяземский, Слезы, 1829","сколько слеза я пролить , || сколько тайный слеза || скрыться приневолить || в день сердечный гроза ! || слеза , что пробиться , || позабыть я ; || чувство освежиться || сладкий их роса . || слеза , что отсесть || на сердечный дно , || к язва прикипеть || ржавчина в я . ||"
"#20-20 Кольцов, Повесть моей любви, 1829","красавица - девушка , || одноземка - душенька , || вы хотеть я , милый , || на досуг кое-как || исповедать таинство , || таинство чудесный . || и у мы в воронеж || никто до этот пора || не хотеть открыть он ; || но для вы , для вы один || я он поведать || и так , как по грамотка , || как хитрец по карточка , || рассказать по-дружески || повесть о сам себя . || скучно и нерадостно || я провести век юность : || в суетный занятие || не видать я красный день ; || жить в степь с корова , || грусть в луга разгуливать , || по поле с лошадка || один горе мыкивать . || от дождь в шалашик || находить убежище , || дикарь , степника || я в воронеж езживать || за харчи , деньги , || часто — за отцовский || мудрый совет . || и в такой занятие || я пробить двадцать год . || но , клясться вы совесть , || я еще не знать любовь . || в город весь девушка || как - то я не нравиться , || в слобода , в селение || все брезгать - гребовать . || раз один в воронеж — || где , не помнить — встретиться || с я один девушка , || смазливенький личико , || умильный глазок , || осанка , поступь , || речь лебединый || вспламенить молодец . || вдруг сердечко пылкий || зажечься , раскалиться , || забиться и искра || по грудь запрядать . || я тогда не в сила быть || удержать порыв страсть — || и в ее объятие || уснуть очаровать , || упиться любовь ; || и с тот пора тот девушка || стать я вечный пленник . || « кто же она ? » — вы спросить , || одноземка милый . || не сказать . .. но если вы || по веселье ездить , || на гульба бывать , || там , поверить я , || вы она увидеть : || все скромный , красивый , || все простой и ласковый , || откровенный , радостный . ||"
"#20-21 Ознобишин, Тамаяндри, 1830","кто представить мочь || прелесть Тамаяндри , || Брама лучший подвиг ! || тысяча столетие || бог сей упражняться || в славный мирозданье , || и , собрать из лучший || обольщенье сердце || прелесть живой , || создать Тамаяндри . || кама и приятность , || милый супруг , || только лишь узреть || образ несравненный , || снять с себя веночек , || они на грудь прекрасный || тихо возложить ; || и тогда возникнуть || холмик отрада || в легкий округленье , || как плод Вильвам , || медленно волноваться , || как последний отзыв || томнозвучный лютня . || пять лишь стрела в колчан || бог любовь иметь ; || три из они мгновенно || расстрелять он в небо . || в земля , в царство бездна ; || два же остальной || скрыть он , Тамаяндри , || в твой ясный око . ||"
"#20-22 Шемиот, Друзьям, 1830","навсегда с друг || разлучаться я ! || что - то быть с вы || без я , друг ? || день от день редеть || наш веселый круг , — || скоро опустеть ! || и последний друг , || смерть забыть , || меж родной не свой , || горесть убить , || быть все чужой ! || грустно разлучаться || с вы ; но грустный || старость дождаться , || пережить друг ! || петь же , веселиться || на заря свой ; || смерть не страшиться : || время мы страшный ! || все с себя уносить || время полет ; || время мы разбросить , — || смерть опять собрать . ||"
"#20-23 Кольцов, Совет старца, 1830","скучный с жизнь старческий , || скучный , друг , в мир жить ; || грустный среди пиршество || о могила взгадывать || и с седой мудрость || к она , наморщиться , двигаться . || поспешать же , юноша , || наслаждаться жизнь ! || отпировать в радость || праздник ваш юность ! || много ль раз роскошный || в год весна являться ? || много ль раз долинушка || убирать зелень , || мурава бархатный , || парча раззолотить ? || не один ль мгновение || и весна и юность ? ||"
"#20-24 Дельвиг, Разлилися воды, конец 1820-х","разлиться вода || на четыре брод : || как на первый брод || роща зацветать , || соловей щелкать ; || на второй - то брод || лето весна гнать , || а кукушка стонать . || как на третий брод || конь - легконожка || полететь с дорожка . || на четвертый брод || свет - девица плакать , || за неровня идти , || сердце лихо чуять . ||"
"#20-25 Шкляревский, Детство, 1820-е","пурпур пылать || облако гряда ; || ласково сиять || вечер звезда ; || нежный Филомела || литься в роща трель ; || в хоровод веселый || нимфа звать свирель ― || ах ! в сей час отрада || устремлять я || горестный взгляд || к вы ― утеха семья , || радость былой , || счастие привет , || игра золотой ― || прелесть майский год . || сумрак расступиться , || над река бор || черный озариться ; || сквозь туманный флер || вновь луна сверкать || перло луч , ― || так порой слетать || мрак с душа мой , || в час , когда , блистать || прелесть день , || гостья неземной || посетить я , || нежно улыбнуться , || словно дочь весна , || и опять слиться || с мгла старина . || сколь прекрасный в белый || риза и в венок , || с роза облетелый , || с лилия в рука , || мирный смерть гений , || детство милый брат , || чистый наслажденье || красить закат ! || юность мы пленять , || как заря восход ; || как сквозь дым мерцать || ночь с толпа забота ; || там , в страна прекрасный , || чистый день рассвет , || за денница ясный || вечер не прийти . ||"
"#30-01 Кольцов, Песня пахаря, 1831","ну ! тащиться , сивка , || пашня , десятина , || выбелить железо || о сырой земля . || красавица зорька || в небо загореться , || из большой лес || солнышко выходить . || весело на пашня . || ну , тащиться , сивка ! || я сам-друг с ты , || слуга и хозяин . || весело я ладить || борона и соха , || телега готовить , || зерно насыпать . || весело глядеть я || на гумно , на скирда , || молотить и веять … || ну ! тащиться , сивка ! || пашенка мы рано || с сивка распахать , || зернышко сготовить || колыбель святой . || он вспоить , вскормить || мать - земля сырой ; || выйти в поле травка ― || ну ! тащиться , сивка ! || выйти в поле травка ― || вырасти и колос , || стать спеть , рядиться || в золотой ткань . || заблестеть наш серп здесь , || зазвенеть здесь коса ; || сладкий быть отдых || на сноп тяжелый ! || ну ! тащиться , сивка ! || накормить досыта , || напоить вода , || вода ключевой . || с тихий молитва || я вспахать , посеять . || уродить я , бог , || хлеб ― мой богатство ! ||"
"#30-02 Кольцов, Размышления поселянина, 1832","на восьмой десяток || пять год перегнуться ; || как один я песня , || песня молодой || петь , запевать || старый погудка ; || как один я лямка || тянуть без подмога ! || ровесник детка || давно помогать , || только я на свет || перемена нет . || сын пойти на служба , || а другой в могила ; || два вдова ― невестка ; || у они ребенок куча ― || все маленький - маленький маленький ; || задный голова || ничто не знать . || где пахать , где сеять , || позабыть думать . || бог , знать , угодно || наказать под старость || я , горемыка , || такой тягота . || сбыть с двор невестка , || пустить в сирота в человек ! ― || старик на сходка || про Кузьма что сказать ? . || нет , мой згад , уж хороший , || доколь мочь и сила , || доколь душа в тело , || быть я трудиться ; || кто у бог просить || да работать любить , || тот невидимо || господь посылать . || посмотреть : один я || батрак и хозяин ; || а жить чем плохо || человек семьянистый ? || лихой - беда в земля || кормилица - ржица || мужичка закинуть , || а там бог уродить , || Микола подсобить || собрать хлебец с поле ; || так он достать || год семья пробавить , || посбыть подать с шея , || и нужда поправить , || и лишний копейка || божий праздник встретить . ||"
"#30-03 Кольцов, Великая тайна, 1833","туча носить вода , || вода поить земля , || земля плод приносить ; || бездна звезда на небо , || бездна жизнь в мир ; || то мрачный , то светлый || чудный природа … || стареться в сомненье || о великий тайна , || идти невозвратно || век за век ; || у каждый век || вечность вопрошать : || « что кончиться дело ? » ― || « вопросить другой » , ― || каждый отвечать . || смелый ум с мольба || мчаться к провиденье . || ты поведать мысль || тайна сей созданье ! || слать ответ , вновь тайный , || чудо природа , || тишина и буря || мысль изумлять … || что же совершиться || в будущее с природа ? .. || о , гореть , лампада , || ярко перед распятье ! || тяжелый я дума , || сладостный молитва ! ||"
"#30-04 Цыганов, Красный сарафан, 1833","« не шить ты я , матушка , || красный сарафан , || не входить , родимушка , || попусту в изъян ! || рано мой косынька || на два расплетать ! || приказать я русый || в лента убирать ! || пущай , не покрыть || шелковый фата , || око молодецкий || веселить себя ! || то ли житье девичий , || чтобы он менять , || торопиться замужем || охать да вздыхать ? || золотой волюшка || я милый все ! || не хотеть я с волюшка || в свет ничто ! » || — « дитя мой , дитятко , || дочка милый ! || головка победный , || неразумный ! || не век ты пташечка || звонко распевать , || легкокрылый бабочка || по цветок порхать ! || заблекнуть на щеченька || маковый цветок , || прискучить забавушка — || стосковаться ты ! || а мы и при старость || себя веселить : || младость вспоминать , || на ребенок глядеть ; || и я молодешенький || быть таков , || и я тот же в девушка || петься слово ! » ||"
"#30-05 Ознобишин, Урок старца, 1834","радость земной — || на листок роса ! || в капля голубой || блистать небо ; || но едва дыханье || тронуть ветерок , || зыбкий сиянье || улететь с листок . || знание глубокий ! || все не исследить . || пусть орел высоко || быть ты парить ; || но бессильный крыло || к солнце долететь ; || суетный усилье || перл в море зреть . || тщетный труд стараться — || не замечать глаз , || быть загораться || как в кора алмаз ? || можно ль жизнь былинка || в поле разгадать , || или цвет пылинка || ясно рассказать ? || тесный ум наш бедный ! || и мудрец не тот , || кто с лампада бледный || жизнь — дар небо сжечь . || кто проводить ночь || долгий без сон , || мы слепец — мы в око || брезжить тень один . || грустный отрава || жизнь зачем томить ? || сделать труд — забава , || научаться жить . || книга вскрыть этот || все от ранний день ; || но , раб у свет , || не читать в она . || с колыбельный сень || путь различный мы : || кто избрать ступень || к слава и чин ; || кто искать стяжанье , || кто с меч на бой ; || кто в родник познание || утонуть душа . || все бежать ; но время || мы скоро бежать ; || путь пройти , — а бремя || то же на мы лежать . || тот же мысль мы гнать : || завтра — бренье , прах ! || и младенец ронять || слеза на гроб . || нет , у вольный птица || научаться жить ! || петь в луч денница , || петь как ночь быть ! || литься в наслажденье || каждый миг пусть твой , || светлый , как сновиденье || дева молодой . || не глядеть на ясный || ночь свод в звезда ! || с дума сладострастный || пить любовь в око . || взгляд сей чудный сила || душа утолить ; || в поцелуй милый || мир блаженство слить ! || в куща ароматный , || напенить бокал , || на заря закатный || старец мы вещать . || юноша , внимать || мы он душа ; || чаша стучать , || мудрый венчать || песнь круговой . ||"
"#30-06 Мятлев, Ветка, 1834","« что ты , ветка бедный , || ты куда плыть ? || беречься ― сердитый || море … пропасть . || уж ты не справиться || с бурный волна , || как сиротка горький || с хитрость людской . || одолеть лютый , || как ты ни трудиться , || далеко умчать ты , || ветка , беречься ! » || « для что беречься я ? ― || ветка быть ответ . ― || я уже иссохнуть , || в я жизнь нет . || от родной дерево || ветер оторвать ; || пусть теперь нести я , || куда хотеть , вал . || я и не противиться : || я что искать ? || уж с родимый дерево || не срастись опять ! » ||"
"#30-07 Ознобишин, Не туманы хладные, 1835","не туман хладный || пасть в поле чистый , || не роса осенний || в луг зеленый кануть , || не спалить солнышко || яркий цвет лазоревый ; || а цветок лазоревый — || не раскрыться , выбежать , || не раскрыться высохнуть || на родимый стебель , || унести вьюга || на чужбина дальний ! || много в свет радость — || в синий море жемчуг ; || много звезда сверкать || в летний небо вечер ; || много красный девушка || с око светлый ! || не глядеть бы молодец || в ясный око девица ! || не ласкать бы молодец || сердце пылкий дума ! || не любить бы молодец || ретивый так пламенно ! || сердце красный девица || глубокий море синий ; || око красный девица || как звезда обманчивый , || как звезда падучий || в летний небо вечер . ||"
"#30-08 Кольцов, Неразгаданная истина, 1836","целый век я рыться || в таинство вселенная , || до седина учиться || мудрость священный . || весь век былой || с новый поверить ; || чудо земной || опыт измерить . || мелкий причина || тешиться человек ; || карл - властелин || двигать мир . || райский долина || кровь обливаться ; || карл - властелин || в бездна низвергаться . || где пройти коварство || с злоба людской , || там , в обломок , царство || зарасти трава … || племя другой || на они поселиться ; || город большой || человек разродиться . || сторона пустой || снова зацарить , ― || и жизнь молодой || шумно запировать ! || подсечь же я крыло || дерзкий сомненье , || проклясть усилье || к тайна провиденье ! || а наш не шагать || мир за граница ; || наобум мешать || с быль небылица . ||"
"#30-09 Кольцов, Могила, 1836","чей это могила || тихий , одинокий ? || и крест тростниковый , || и насыпь свежий ? || и чистый поле || кругом без дорога ? || чей жизнь отжиться ? || чей кончиться путь ? || татарин ли дикий || свершить здесь убийство || в ночной темнота || и свежий кровь , || горячий брызнуть || на русский быль ? || или молодой || жница - поселянка , || ангел - младенец || на рука лелеять , || оплакать горько || кончина его ? || и под ясный небо || в поле , на простор , || в цветок васильковый , || положить дитя . || веять над могила , || веять буйный ветер , || катить через нива , || мимо тот могила , || сухой былинка , || перекати-поле . || будить вольный ветер , || будить , не пробудить || дикий пустыня , || тихий сон могила ! .. ||"
"#30-10 Кольцов, Божий мир, 1836","отец свет — вечность ; || сын вечность — сила ; || дух сила быть жизнь ; || мир жизнь кипеть . || везде триединый , || воззвать все к жизнь ! || нет век он , || нет место он ! || с величество трон , || с престол чудо || божий образ — солнце || к мы с небо глядеть || и день поверять || всемирный жизнь . || в другой место небо || оно отразиться — || и месяц земля || весь ночь сторожить . || тьма , на лоно ночь || и живой прохлада , || весь стихия мир || сон благословлять . || свет давать они сила , || возрождать душа . || в царство божий воля , || в перелив жизнь — || нет бессильный смерть , || нет бездушный жизнь ! ||"
"#30-11 Аскоченский, Человек, 1837","чудный созданье || в этот мир человек : || дивный их начало , || дивный и скончанье ! || тайна покрыть || в матерний утроба , || будто под земля || благодатный семя , || божий роса || свыше упиваться , || вырастать тихо || жизненный зародыш — || будущий младенец . || вот уж он проститься || с душный темница , || и на белый свет || лишний человек || сделаться много . || с вопль без сознанье || радость мешать , || будущий владыка || видимый природа || целый мир игрушка || для себя считать . || но бежать незримо || в вечность день за день || и с себя уносить || год невозвратно … || быстро исчезать || детский игривость , || и невинный отрок || юноша бывать , || смелый в начинанье , || пылкий в ожиданье . || незнакомый с жизнь , || он для все по равно || радушный сердце || делить без расчет . || влажный любовь , || полный пожар , || око его искать || ангел земной . || и несчастный дева , || если она , броситься || в жгучий объятье || юноша , позволить || в сладострастный нега || таять в поцелуй ! || впиваться вампир , || он она задушить || в пламенный восторг , || и до капля выпить || нектар наслажденье … || но бежать незримо || в вечность день за день , || и с себя уносить || год невозвратно … || море треволненный || юноша — Нептун , || ропотно волноваться , || наконец стихать ; || ясный , как утро , || жизнь без огорченье , || без забота и горе , || наконец мрачиться || черный невзгода || горесть житейский , || и суровость муж || по чело младой || борозда проводить , || и соколий око || дума омрачать . || скука и сомненье , || к человек недоверье — || опыт награда . || но неутомимо || смелый муж с молитва || спешно собирать || благо для покой || старость грядущий . || и бежать незримо || в вечность день за день || и с себя уносить || год невозвратно … || сорок раз весна уж || зелень роскошный || поле убирать ; || сорок раз являться || гость из-за море || певчий голосистый . || чудный природа || тот же остаться ; || трель соловьиный || не перемениться ; || но над человек || дивный свершиться . || око соколиный , || полный отвага || юность цвести || жизнь не блестеть уж ; || кудри золотой , || в кольцо завить , || иней покрыться ; || смелый в начинанье , || полкий в ожиданье , || юноша могучий || сделаться внезапно || хилый и бессильный || старец седовласый , — || и уже пора || слышный старец с небо || таинственный голос || о загробный жизнь . || под тяжелый ноша || жизнь невеселый || он уж сам себя || клониться на земля , || чтоб сложить тот бремя , || что так тяготить || дух его бессмертный … || и бежать незримо || в вечность день за день || и с себя уносить || старец невозвратно … || чудный созданье || в этот мир человек ! || дивный их начало , || дивный и скончанье ! || масса безобразный || мертвенный остаток || лежать недвижимый || в непокрытый гроб … || где же тот деться сила , || что в цвести год || прелесть дивный || пышно украшать || масса безобразный || мертвенный остаток ? || темный и таинственный || слать ответ я небо … || что же там — за гроб ? || где душа витать ? || что там ожидать || в небо человек ? || быть ли он вечно || жизнь особый || жить не умирать ? || или свой чреда || обратиться снова || к первый начало , || и в единый слиться || неразрывно с бог , || потеряться должен || в беспредельный жизнь ? || чудный созданье || в этот мир человек ! || дивный их начало , || дивный и скончанье ! ||"
"#30-12 Кольцов, Горькая доля, 1837","соловей залетный || юность пролететь , || волна в непогода || радость прошуметь . || пора золотой || быть , да сокрыться ; || сила молодой || с тело износиться . || от кручина - дума || в сердце кровь застыть ; || что любить , как душа , ― || и то изменить . || как былинка , ветер || молодец шатать ; || зима лицо знобить , || солнце сожигать . || до пора , до время || все я весь изжиться ; || и кафтан мой синий || с плечо долой свалиться ! || без любовь , без счастье || по мир скитаться : || разойтись с беда ― || с горе повстречаться ! || на крутой гора || расти зеленый дуб , || под гора теперь || он лежать , гнить … ||"
"#30-13 Веревкин, Песня о персидской кампании, 1837","не туман ли из-за море || туча подняться ? || не туман , не дождичек , || нет , орел взвиться ! || белый , как лебедушка , || зоркий , как сокол , || он полк расейский || в Персия повести . || первый подвернуться мы || сам Аббас - Мирза ; || мы Мирза с мирзята || плюнуть в глаз . || и , прийти , начать , || видеть вражий мочь , || шанец , батареюшка || строить день и ночь . || и потом , ребятушки , || лишь прийти пора , — || крикнуть по-нашему || русский ура ! || крикнуть , ударить , || понестись на брань , — || и в секунда с четверть || взять Эривань ! || граф же иван Федрович , || наш голова , || тотчас в она отпраздновать || праздник покров . || и Мирза Мирзович || снова дать трезвон , || царство басурманский || захватить в полон . ||"
"#30-14 Веревкин, Песня после учения, 1837","молодец солдат || не о что тужить ! || с командир хват || любо , братец , жить ! || он мы не печалить , || он мы не гнести , || но за дело хвалить || и за дело бить . || мы же , без огорченье || выстроить ряд , || ходить на ученье || повторять зады , || и , до перекличка , || тереть песок штык , || белить аммуничка , || чистить репеек , || пригонять ранец , || ставить они рядок , || и наводить глянец || костяной зубок , || а пригнать все гладко , || целый ночь потом || спать в палатка сладко || богатырский сон . || право , жизнь наш || веселый нет ! || водка да щи с каша || быть у мы в обед ; || красный девица , || нарядиться в атлас , || себя круглолицый , || даром любить мы . || так зато уж , братец , || выйти на парад , || каждый рад стараться || подтянуть приклад , || лишь бы шаг плавный || угодить отец || командир главный , || свет - молодец . || дать бог этот хват || многий год жить ! || с они мы , солдат , || не о что тужить ! ||"
"#30-15 Веревкин, Песня боевая, 1837","русский солдат || знать целый свет ! || грянуть же , ребята , || от душа привет ! || царь самодержавный , || белый русский царь , || первый православный || в свет государь , || молвить только слово , || взгляд повести , — || мы повсюду , снова || быть впереди ! ||"
"#30-16 Тимофеев, Выбор жены, 1837","не жениться на умница , || на лихой беда ! || не жениться на вдовушка , || на чужой жена ! || жениться на вдовушка ― || старый муж прийти ; || жениться на умница ― || голова свернуть . || не жениться на золото , || тестев добро ! || не жениться на почесть , || женин родня ! || жениться на золото ― || сам продать себя ; || жениться на почесть ― || пропадать жена ! || много певчий пташечка || в божий лес ; || много красный девушка || в царский город . || загонять соловушка || в клеточка твой ; || выбирать из девушка || пташечка - жена . ||"
"#30-17 Кольцов, Первая песня Лихача Кудрявича, 1837","с радость - веселье || хмель кудри виться ; || ни с какой забота || они не сечься . || они не гребень чесать ― || золотой доля , || завивать в кольцо || молодецкий удаль . || не родиться богатый , || а родиться кудрявый : || по щучий веленье || все ты готовый . || что душа хотеть ― || из земля родиться ; || с весь сторона прибыль || ползти и валиться . || что шутить задумать ― || пойти шутка в дело ; || а тряхнуть кудри ― || в один миг поспеть . || не взять где лоск , || взять кудри сила ; || и что худо ― смотреть , || по вода поплыть ! || любо жить на свет || молодец с кудри , || веселый на белый || с черный бровь . || вовремя да в пора || мед речь литься ; || и с утро до ночь || песенка петься . || про тот речь - песня || девушка все знать ; || и о кудри зима || ночь не спать , гадать . || честь и слава кудри ! || пусть их волос виться ; || с они все на свет || ловко удаваться ! || не под шапка горе || голова кудрявый ! || разливаться песня ! || ходить , парень , браво ! ||"
"#30-18 Кольцов, Вторая песня Лихача Кудрявича, 1837","в золотой время || хмель кудри виться ; || с горесть - печаль || русый сечься . || ах , сечься кудри ! || любить они забота ; || полюбить забота ― || не чесать и гребень . || не родиться в сорочка , || не родиться талантливый ― || родиться терпеливый || и на все готовый . || век прожить ― не поле || пройти за соха ; || кручина , что туча , || не уносить ветер . || злой беда ― не буря ― || гора качать , || ходить невидимка , || губить без разбор . || от ее напасть || не уйти на лыжа ; || в чистый поле найти , || в темный лес сыскать . || чуять только сердце : || прийти , сесть рядом , || об рука с тобой || пойти и поехать … || и щемить и ныть , || болеть ретивое ― || все ― из рука вон плохой , || нет ни в что удача . || то ― скосить град , || то ― снять пожар … || чистый кругом и легкий ; || никто не нужный … || к старик на сходка || выйти приневолить : || старый лаптишки || без онучи обуть ; || кафтанишка рваный || на плечо натянуть ; || борода вскосматить , || шапка нахлобучить … || тихомолком стать || за чужой плечо … || пусть не видеть человек || прожить счастье . ||"
"#30-19 Станкевич, Януарию Михайловичу, 1837-1838","поспешать , юноша , || наслаждаться жизнь ! || предоставить дряхлость || логика печальный ! || пусть она пытаться || измерять количество , || наслаждаться качество || юный уста и щека ! || пусть она над мера || изломать голова , || вы же переполнить || мера шумный радость . ||"
