name	task	errors	der_level3	der_level4	der_level5	der_level6	group	mci	freq_finite_forms	freq_aux	num_inf	num_gerunds	num_pres_sing	num_pres_plur	num_past_part	num_past_simple	Symbols	Tokens	Length
2017_DOv_25_2,txt	argumentative	6	0.053	0.084	0.031	0.115	1	5	0.327868852	0.163934426	16	9	8	0	14	2	2588	417	350+
2017_VSa_91_2,txt	argumentative	6	0.065	0.129	0.151	0.043	1	4.25	0.285714286	0.742857143	12	7	17	0	7	6	1562	249	200+
2014_AMe_11_2,txt	argumentative	5	0.037	0.074	0.056	0.074	1	3	0.297297297	0.72972973	27	0	1	1	7	1	1356	253	250+
2014_AMe_15_2,txt	argumentative	5	0.018	0.071	0.036	0.054	1	2.25	0.666666667	0.555555556	8	1	6	0	1	4	1419	249	200+
2014_AMe_7_2,txt	argumentative	5	0.013	0.038	0.000	0.013	1	4.5	0.678571429	0.535714286	6	1	8	0	4	3	1512	270	250+
2014_EEm_17_2,txt	argumentative	5	0.034	0.086	0.069	0.052	1	3.75		0.791666667	12	2	8	0	4	4	1271	213	200+
2014_EPa_52_2,txt	argumentative	5	0.070	0.151	0.035	0.035	1	1.75	0.404255319	0.617021277	34	0	11	0	0	7	1960	345	300+
2014_EPa_64_2,txt	argumentative	5	0.014	0.042	0.000	0.028	1	4	0.195121951	0.365853659	13	8	7	0	4	3	1547	253	250+
2014_TSha_19_2,txt	argumentative	5	0.024	0.082	0.035	0.024	1	2.75	0.379310345	0.517241379	12	3	7	0	4	4	1523	255	250+
2014_VPe_45_2,txt	argumentative	5	0.051	0.063	0.013	0.076	1	3.5	0.227272727	1.181818182	13	6	9	0	1	4	1825	324	300+
2016_EKu_94_2,txt	argumentative	5	0.000	0.087	0.101	0.043	1	4.25	0.28125	0.6875	18	3	8	0	5	5	1448	253	250+
2016_OR_11_2,txt	argumentative	5	0.067	0.050	0.050	0.150	1	4.5	0.272727273	0.5	11	4	7	0	0	1	1268	215	200+
2016_ZEv_31_2,txt	argumentative	5	0.049	0.110	0.073	0.085	1	4.5	0.411764706	0.558823529	14	4	11	0	2	2	1696	273	250+
2017_DOv_17_2,txt	argumentative	5	0.013	0.072	0.053	0.026	1	2.5	0.253968254	0.571428571	36	3	8	0	8	8	3167	515	350+
2017_VSa_81_2,txt	argumentative	5	0.025	0.123	0.123	0.049	1	5.25	0.297297297	0.837837838	19	6	8	0	7	8	1565	270	250+
2019_EEr_156_2,txt	argumentative	5	0.027	0.093	0.080	0.080	1	3.5	0.375	0.625	14	1	11	0	7	7	1602	269	250+
2019_EEr_285_2,txt	argumentative	5	0.056	0.097	0.139	0.028	1	3.5	0.296296296	0.444444444	14	4	8	0	2	4	1548	258	250+
2019_EEr_300_2,txt	argumentative	5	0.077	0.077	0.077	0.077	1	4.25	0.461538462	0.692307692	16	3	11	0	6	4	1823	302	300+
2019_EEr_306_2,txt	argumentative	5	0.067	0.022	0.067	0.111	1	5	0.5	1.076923077	8	4	17	0	6	2	1809	315	300+
2014_AMe_9_2,txt	argumentative	4	0.015	0.138	0.108	0.046	1	1.75	0.590909091	0.636363636	11	1	2	0	1	4	1492	254	250+
2014_DZu_21_2,txt	argumentative	4	0.018	0.175	0.158	0.000	1	2.25	0.666666667	0.925925926	10	0	11	0	0	10	1685	290	250+
2014_DZu_5_2,txt	argumentative	4	0.040	0.120	0.060	0.020	1	3	0.625	0.833333333	8	1	8	0	2	3	1406	250	250+
2014_EEm_5_2,txt	argumentative	4	0.067	0.077	0.135	0.077	1	4.25	0.303030303	0.787878788	16	6	16	0	3	4	2013	331	300+
2014_MBi_22_2,txt	argumentative	4	0.048	0.131	0.071	0.071	1	3	0.461538462	0.769230769	14	1	10	0	2	4	1559	253	250+
2014_MTsy_15_2,txt	argumentative	4	0.119	0.060	0.071	0.036	1	3.5	0.21875	0.625	13	12	5	0	1	7	1506	243	200+
2014_VPe_34_2,txt	argumentative	4	0.055	0.096	0.041	0.055	1	4	0.323529412	0.794117647	20	6	9	0	3	9	1846	320	300+
2014_ZEv_30_2,txt	argumentative	4	0.037	0.037	0.093	0.074	1	2.5	0.423076923	0.961538462	13	4	7	0	1	5	1448	251	250+
2016_EKu_132_2,txt	argumentative	4	0.075	0.019	0.019	0.019	1	3.5	0.514285714	0.457142857	14	2	8	0	1	2	1228	224	200+
2016_OR_27_2,txt	argumentative	4	0.074	0.056	0.093	0.111	1	3.25	0.457142857	0.571428571	19	1	5	0	1	5	1408	247	200+
2016_OR_45_2,txt	argumentative	4	0.042	0.111	0.083	0.083	1	2	0.333333333	0.777777778	17	0	17	0	3	5	1484	259	250+
2016_OR_48_2,txt	argumentative	4	0.071	0.133	0.041	0.051	1	3	0.526315789	0.552631579	13	3	17	0	1	5	2113	355	350+
2016_ZEv_47_2,txt	argumentative	4	0.087	0.022	0.087	0.065	1	2.25	0.263157895	0.526315789	10	3	5	0	1	2	1009	171	150+
2016_ZEv_52_2,txt	argumentative	4	0.012	0.099	0.025	0.086	1	3.25	0.294117647	0.588235294	18	0	9	0	9	5	1477	247	200+
2017_ABl_22_2,txt	argumentative	4	0.010	0.167	0.157	0.039	1	3	0.47826087	0.565217391	17	4	3	0	9	3	2177	375	350+
2017_ABl_28_2,txt	argumentative	4	0.035	0.128	0.081	0.023	1	5.75	0.333333333	0.472222222	14	3	10	0	9	4	1672	286	250+
2017_ABl_43_2,txt	argumentative	4	0.000	0.171	0.110	0.061	1	4	0.361111111	0.611111111	15	8	10	0	3	2	1563	259	250+
2017_AGo_1_2,txt	argumentative	4	0.038	0.038	0.013	0.077	1	3.75	0.243243243	0.675675676	21	5	10	0	8	3	1746	306	300+
2017_DOv_27_2,txt	argumentative	4	0.060	0.075	0.075	0.045	1	5.75	0.263157895	0.842105263	16	11	11	0	6	6	1782	314	300+
2017_DPe_10_2,txt	argumentative	4	0.055	0.082	0.027	0.041	1	4	0.30952381	0.404761905	20	5	12	0	6	4	1463	255	250+
2017_DPe_66_2,txt	argumentative	4	0.030	0.090	0.119	0.075	1	3.25	0.456521739	0.413043478	18	7	6	0	2	8	1590	280	250+
2017_VSa_43_2,txt	argumentative	4	0.069	0.034	0.046	0.080	1	4.5	0.212121212	0.727272727	20	2	7	0	5	4	1581	262	250+
2017_VSa_76_2,txt	argumentative	4	0.041	0.096	0.096	0.027	1	4.25	0.25	0.964285714	15	4	8	0	6	7	1482	247	200+
2019_EEr_120_2,txt	argumentative	4	0.009	0.073	0.092	0.009	1	5.75	0.29787234	0.595744681	28	5	18	0	4	7	2249	393	350+
2019_EEr_299_2,txt	argumentative	4	0.045	0.067	0.056	0.056	1	4.25	0.322580645	0.935483871	16	10	13	0	2	7	1984	341	300+
2014_AAl_19_2,txt	argumentative	3	0.065	0.104	0.091	0.052	1	6	0.419354839	0.677419355	9	6	15	0	6	3	1604	271	250+
2014_AAl_22_2,txt	argumentative	3	0.040	0.060	0.080	0.030	1	5.5	0.4	0.6	16	3	17	0	9	8	2122	349	300+
2014_AAl_24_2,txt	argumentative	3	0.118	0.106	0.129	0.094	1	4.25	0.3125	0.65625	18	3	9	0	2	2	1760	293	250+
2014_AAl_3_2,txt	argumentative	3	0.063	0.063	0.075	0.125	1	3	0.214285714	1.035714286	19	2	11	0	7	9	1711	290	250+
2014_AAl_30_2,txt	argumentative	3	0.029	0.088	0.088	0.029	1	3.5	0.384615385	0.961538462	13	1	7	0	4	5	1439	250	250+
2014_AAl_36_2,txt	argumentative	3	0.015	0.030	0.076	0.030	1	3.5	0.52	0.64	11	0	9	0	4	4	1552	271	250+
2014_AAl_9_2,txt	argumentative	3	0.042	0.167	0.083	0.058	1	3.75	0.276595745	0.744680851	17	6	14	0	15	5	2434	408	350+
2014_AMe_21_2,txt	argumentative	3	0.045	0.056	0.011	0.079	1	4	0.342857143	0.6	20	2	8	0	6	4	1796	311	300+
2014_AMe_23_2,txt	argumentative	3	0.000	0.073	0.073	0.049	1	2.5	0.625	0.8125	8	0	3	0	0	2	830	141	<150
2014_ASt_37_2,txt	argumentative	3	0.048	0.111	0.175	0.048	1	3.5	0.444444444	0.555555556	12	2	5	0	4	5	1456	236	200+
2014_DAr_16_2,txt	argumentative	3	0.000	0.000	0.048	0.000	1	2.75	0.52	0.52	15	1	6	0	0	3	1097	194	150+
2014_DZu_35_2,txt	argumentative	3	0.047	0.070	0.070	0.023	1	2.75	0.538461538	0.230769231	1	2	3	0	3	2	812	131	<150
2014_EEm_13_2,txt	argumentative	3	0.109	0.073	0.073	0.018	1	3.5	0.457142857	0.371428571	16	1	11	0	3	2	1352	239	200+
2014_EEm_25_2,txt	argumentative	3	0.044	0.056	0.033	0.078	1	3	0.384615385	0.961538462	18	1	5	0	2	4	1743	293	250+
2014_EPa_13_2,txt	argumentative	3	0.095	0.068	0.054	0.000	1	3.25	0.405405405	0.783783784	18	5	10	0	3	3	1843	311	300+
2014_EPa_25_2,txt	argumentative	3	0.038	0.077	0.019	0.077	1	4.25	0.52	0.4	8	3	3	0	1	4	1134	183	150+
2014_ESha_36_2,txt	argumentative	3	0.014	0.123	0.068	0.041	1	2.75	0.166666667	0.766666667	16	5	10	0	6	2	1645	275	250+
2014_LPo_11_2,txt	argumentative	3	0.080	0.102	0.068	0.034	1	2.5	0.47826087	1	15	1	6	0	0	2	1920	319	300+
2014_LPo_8_2,txt	argumentative	3	0.000	0.116	0.000	0.029	1	2.5	0.25	0.642857143	15	4	4	0	2	4	1534	267	250+
2014_MGr_4_2,txt	argumentative	3	0.126	0.032	0.063	0.084	1	5.25	0.566666667	0.6	10	3	16	0	3	4	1727	284	250+
2014_TSha_7_2,txt	argumentative	3	0.059	0.106	0.035	0.082	1	4.5	0.333333333	0.696969697	20	2	13	0	6	2	1859	303	300+
2014_VKo_28_2,txt	argumentative	3	0.038	0.064	0.064	0.038	1	3.25	0.375	0.65625	16	4	7	1	1	3	1828	306	300+
2014_VPe_36_2,txt	argumentative	3	0.025	0.114	0.025	0.051	1	2.5	0.517241379	0.75862069	15	1	10	0	1	3	1629	277	250+
2014_VPe_51_2,txt	argumentative	3	0.034	0.079	0.045	0.045	1	3.25	0.366666667	0.9	21	3	9	0	0	8	1923	352	350+
2014_ZEv_13_2,txt	argumentative	3	0.043	0.065	0.065	0.130	1	3.25	0.333333333	0.666666667	7	5	6	0	0	1	1053	166	150+
2014_ZEv_15_2,txt	argumentative	3	0.038	0.127	0.101	0.025	1	4.25	0.285714286	0.914285714	20	1	10	0	9	7	1723	286	250+
2014_ZEv_18_2,txt	argumentative	3	0.060	0.040	0.000	0.080	1	3.5	0.272727273	0.727272727	23	5	2	0	1	6	1342	223	200+
2014_ZEv_20_2,txt	argumentative	3	0.063	0.021	0.146	0.021	1	4	0.375	0.416666667	9	3	3	0	1	1	1053	174	150+
2014_ZEv_8_2,txt	argumentative	3	0.042	0.084	0.021	0.021	1	3.75	0.318181818	0.545454545	21	4	7	1	6	3	1912	328	300+
2015_KT_14_2,txt	argumentative	3	0.030	0.212	0.106	0.000	1	4.25	0.3	1.25	16	4	5	0	0	3	1467	237	200+
2016_EKu_133_2,txt	argumentative	3	0.064	0.018	0.027	0.055	1	3	0.222222222	0.311111111	14	12	9	0	6	1	1868	290	250+
2016_EKu_21_2,txt	argumentative	3	0.028	0.127	0.070	0.056	1	6.5	0.351351351	0.405405405	17	4	12	0	5	1	1504	257	250+
2016_JSl_38_2,txt	argumentative	3	0.018	0.053	0.018	0.053	1	3.25	0.379310345	0.551724138	13	1	7	0	3	4	1343	232	200+
2016_JSl_41_2,txt	argumentative	3	0.048	0.072	0.060	0.060	1	3.75	0.3125	0.625	15	7	7	0	2	2	1684	284	250+
2016_JSl_73_2,txt	argumentative	3	0.070	0.102	0.047	0.078	1	4	0.23255814	0.697674419	15	7	14	0	8	1	2374	378	350+
2016_JSl_85_2,txt	argumentative	3	0.051	0.025	0.025	0.025	1	3.75	0.387096774	0.741935484	15	1	6	0	6	9	1552	256	250+
2016_MTsy_27_2,txt	argumentative	3	0.036	0.095	0.071	0.036	1	2.75	0.43902439	0.585365854	21	1	14	0	1	3	1990	343	300+
2016_NMa_22_2,txt	argumentative	3	0.043	0.043	0.043	0.128	1	5	0.461538462	0.576923077	8	4	11	0	4	2	1291	243	200+
2016_OR_121_2,txt	argumentative	3	0.070	0.088	0.070	0.070	1	3.5	0.333333333	0.366666667	13	4	8	0	1	2	1354	231	200+
2016_OR_123_2,txt	argumentative	3	0.100	0.100	0.020	0.080	1	1.5	0.647058824	0.411764706	14	0	4	0	0	2	1621	291	250+
2016_OR_125_2,txt	argumentative	3	0.014	0.108	0.027	0.041	1	2.5	0.692307692	0.487179487	9	4	6	0	2	6	1862	347	300+
2016_OR_134_2,txt	argumentative	3	0.070	0.056	0.056	0.099	1	4	0.352941176	0.441176471	13	7	4	0	4	8	1721	278	250+
2016_OR_15_2,txt	argumentative	3	0.046	0.092	0.015	0.108	1	2.75	0.307692308	0.769230769	11	4	8	0	3	3	1332	229	200+
2016_OR_17_2,txt	argumentative	3	0.050	0.050	0.138	0.125	1	5	0.266666667	0.8	13	4	11	0	8	3	1704	282	250+
2016_OR_23_2,txt	argumentative	3	0.065	0.129	0.032	0.065	1	1.5	0.166666667	0.833333333	3	2	2	0	0	1	637	103	<150
2016_OR_29_2,txt	argumentative	3	0.035	0.047	0.024	0.094	1	3.25	0.303030303	0.666666667	19	4	5	0	0	3	1790	304	300+
2016_OR_33_2,txt	argumentative	3	0.068	0.000	0.034	0.085	1	2.25	0.324324324	0.486486486	23	2	5	0	1	4	1556	268	250+
2016_OR_40_2,txt	argumentative	3	0.029	0.029	0.000	0.029	1	1.75	0.384615385	0.692307692	7	0	7	0	2	2	739	133	<150
2016_OR_42_2,txt	argumentative	3	0.098	0.146	0.049	0.122	1	0.75	0.357142857	1.428571429	12	0	4	0	1	0	846	151	150+
2016_OR_49_2,txt	argumentative	3	0.020	0.102	0.082	0.041	1	2.5	0.391304348	0.565217391	13	1	3	0	0	4	1431	243	200+
2016_OR_55_2,txt	argumentative	3	0.103	0.029	0.103	0.103	1	2.75	0.21875	0.78125	19	6	7	0	3	5	1636	295	250+
2016_OR_6_2,txt	argumentative	3	0.041	0.135	0.108	0.068	1	3.75	0.363636364	1	13	3	10	0	1	2	1527	252	250+
2016_OR_61_2,txt	argumentative	3	0.064	0.064	0.064	0.064	1	4.25	0.25	0.6875	17	7	6	0	4	1	1686	269	250+
2016_OR_84_2,txt	argumentative	3	0.095	0.014	0.027	0.122	1	5	0.333333333	0.75	14	2	12	0	2	4	1547	278	250+
2016_ZEv_10_2,txt	argumentative	3	0.044	0.011	0.011	0.066	1	4.75	0.314285714	0.4	14	6	8	0	3	3	1723	287	250+
2016_ZEv_15_2,txt	argumentative	3	0.058	0.087	0.014	0.043	1	4.25	0.363636364	0.575757576	19	1	16	0	4	3	1411	248	200+
2016_ZEv_39_2,txt	argumentative	3	0.039	0.039	0.013	0.039	1	5.5	0.214285714	0.321428571	13	4	4	0	1	4	1321	222	200+
2016_ZEv_9_2,txt	argumentative	3	0.056	0.074	0.000	0.074	1	1.75	0.346153846	1.038461538	20	0	7	0	1	5	1452	264	250+
2017_ABl_42_2,txt	argumentative	3	0.011	0.230	0.126	0.069	1	4.25	0.4	0.6	15	3	9	0	6	5	1860	305	300+
2017_ABl_45_2,txt	argumentative	3	0.043	0.058	0.058	0.029	1	2.5	0.428571429	0.657142857	15	3	14	0	4	5	1649	288	250+
2017_ABl_47_2,txt	argumentative	3	0.033	0.133	0.083	0.017	1	3.75	0.333333333	0.666666667	15	3	8	1	5	7	1432	255	250+
2017_DOv_16_2,txt	argumentative	3	0.087	0.043	0.058	0.058	1	3.5	0.363636364	0.484848485	12	3	6	0	5	2	1294	218	200+
2017_DOv_23_2,txt	argumentative	3	0.013	0.077	0.090	0.077	1	3.25	0.289473684	0.552631579	21	1	13	0	6	4	1808	309	300+
2017_DPe_1_2,txt	argumentative	3	0.011	0.160	0.074	0.021	1	3	0.243243243	0.702702703	24	4	4	0	5	13	2033	359	350+
2017_DPe_30_2,txt	argumentative	3	0.066	0.098	0.115	0.033	1	4.75	0.371428571	0.742857143	20	2	8	1	4	5	1414	253	250+
2017_DPe_43_2,txt	argumentative	3	0.066	0.118	0.053	0.013	1	3.5	0.515151515	0.575757576	8	4	14	0	6	2	1538	276	250+
2017_DPe_63_2,txt	argumentative	3	0.097	0.065	0.065	0.032	1	4	0.5	0.382352941	11	4	6	0	3	2	1536	272	250+
2017_DPe_84_2,txt	argumentative	3	0.011	0.114	0.068	0.011	1	3	0.380952381	0.380952381	16	8	10	0	4	3	1684	302	300+
2017_EGe_101_2,txt	argumentative	3	0.061	0.051	0.071	0.061	1	1.75	0.283333333	0.5	35	4	4	0	9	15	2427	417	350+
2017_EGe_102_2,txt	argumentative	3	0.028	0.042	0.014	0.042	1	5	0.306122449	0.714285714	27	1	9	0	9	5	1866	335	300+
2017_EGe_105_2,txt	argumentative	3	0.092	0.077	0.015	0.092	1	4.25	0.233333333	0.833333333	20	2	8	0	4	6	1522	263	250+
2017_EGe_145_2,txt	argumentative	3	0.037	0.049	0.061	0.085	1	4	0.274509804	0.549019608	27	5	5	0	12	6	1825	313	300+
2017_EGe_193_2,txt	argumentative	3	0.063	0.095	0.084	0.032	1	4.5	0.6	0.4	9	1	11	0	3	3	1904	308	300+
2017_EGe_210_2,txt	argumentative	3	0.052	0.169	0.065	0.052	1	3.25	0.363636364	0.666666667	13	4	11	0	4	8	1770	302	300+
2017_EGe_230_2,txt	argumentative	3	0.050	0.050	0.025	0.075	1	3.25	0.379310345	0.793103448	14	7	6	0	3	3	1150	212	200+
2017_EGe_247_2,txt	argumentative	3	0.063	0.094	0.094	0.047	1	3.5	0.272727273	0.954545455	13	2	7	0	3	5	1466	250	250+
2017_EGe_272_2,txt	argumentative	3	0.054	0.063	0.036	0.072	1	3.5	0.30952381	0.523809524	20	4	16	0	7	3	2173	366	350+
2017_OBy_10_2,txt	argumentative	3	0.063	0.038	0.000	0.075	1	4.75	0.340425532	0.510638298	29	2	10	0	1	9	1611	285	250+
2017_OBy_136_2,txt	argumentative	3	0.062	0.031	0.015	0.031	1	2.75	0.178571429	0.535714286	21	1	3	0	0	7	1392	234	200+
2017_OBy_150_2,txt	argumentative	3	0.017	0.138	0.000	0.017	1	2.25	0.433333333	0.533333333	12	4	16	0	0	3	1500	257	250+
2017_OBy_154_2,txt	argumentative	3	0.048	0.097	0.097	0.016	1	2.75	0.225806452	0.580645161	14	8	6	0	6	4	1491	260	250+
2017_OBy_36_2,txt	argumentative	3	0.114	0.000	0.057	0.171	1	3.25	0.5	0.75	2	4	3	0	3	0	709	119	<150
2017_OBy_4_2,txt	argumentative	3	0.052	0.052	0.034	0.069	1	3.25	0.243243243	0.675675676	21	5	7	0	5	7	1553	272	250+
2017_OBy_49_2,txt	argumentative	3	0.225	0.025	0.025	0.200	1	2.5	0.4	0.7	10	0	5	0	3	4	1024	175	150+
2017_OBy_78_2,txt	argumentative	3	0.109	0.000	0.043	0.022	1	5.75	0.25	0.464285714	24	8	10	0	6	11	1991	366	350+
2017_OBy_91_2,txt	argumentative	3	0.016	0.063	0.031	0.047	1	3.25	0.212121212	0.787878788	12	3	5	0	12	8	1454	239	200+
2017_VSa_42_2,txt	argumentative	3	0.023	0.070	0.035	0.023	1	3.25	0.35483871	0.64516129	16	2	4	0	4	3	1648	271	250+
2017_VSa_84_2,txt	argumentative	3	0.024	0.106	0.094	0.082	1	4.25	0.342857143	0.857142857	22	5	13	0	4	8	1771	321	300+
2017_VSa_89_2,txt	argumentative	3	0.039	0.145	0.158	0.053	1	4.5	0.379310345	0.586206897	11	5	7	0	5	3	1394	227	200+
2019_EEr_113_2,txt	argumentative	3	0.000	0.118	0.098	0.020	1	3.25	0.428571429	0.428571429	9	3	9	0	2	0	864	147	<150
2019_EEr_131_2,txt	argumentative	3	0.081	0.061	0.081	0.071	1	2.5	0.346153846	1.038461538	14	2	9	0	3	5	1860	311	300+
2019_EEr_150_2,txt	argumentative	3	0.037	0.120	0.074	0.019	1	3.5	0.523809524	0.595238095	18	2	20	0	4	4	2122	349	300+
2019_EEr_276_2,txt	argumentative	3	0.041	0.072	0.010	0.031	1	5	0.382978723	0.659574468	20	5	13	0	7	4	2366	404	350+
2019_EEr_280_2,txt	argumentative	3	0.090	0.077	0.064	0.038	1	6.25	0.5	0.416666667	12	5	12	0	3	5	1936	318	300+
2019_EEr_98_2,txt	argumentative	3	0.024	0.087	0.079	0.008	1	3.5	0.37254902	0.529411765	16	12	13	0	6	9	2345	386	350+
2014_AAl_2_2,txt	argumentative	2	0.034	0.124	0.034	0.056	1	3.5	0.371428571	0.8	24	1	11	0	2	6	1854	317	300+
2014_AAl_23_2,txt	argumentative	2	0.016	0.047	0.000	0.016	1	3.75	0.454545455	0.863636364	11	1	10	0	2	6	1398	243	200+
2014_AAl_31_2,txt	argumentative	2	0.106	0.061	0.061	0.015	1	2.75	0.24137931	0.827586207	20	1	6	0	4	3	1595	278	250+
2014_ADe_17_2,txt	argumentative	2	0.068	0.034	0.034	0.017	1	4.5	0.357142857	0.535714286	8	8	8	0	2	3	1519	256	250+
2014_ADe_8_2,txt	argumentative	2	0.036	0.089	0.089	0.071	1	2.5	0.35	1	12	2	12	0	0	3	1503	266	250+
2014_AMe_10_2,txt	argumentative	2	0.000	0.162	0.054	0.000	1	1	0.565217391	0.608695652	11	0	1	0	0	4	970	166	150+
2014_ASt_21_2,txt	argumentative	2	0.122	0.054	0.081	0.027	1	4	0.375	0.6875	12	1	7	1	9	5	1561	265	250+
2014_ASt_34_2,txt	argumentative	2	0.107	0.067	0.107	0.040	1	4.25	0.657142857	0.428571429	6	2	11	0	6	2	1720	284	250+
2014_DZu_26_2,txt	argumentative	2	0.081	0.105	0.128	0.023	1	5.5	0.25	1.035714286	15	2	15	0	9	1	1842	311	300+
2014_EEm_15_2,txt	argumentative	2	0.051	0.064	0.026	0.038	1	3.5	0.302325581	0.418604651	23	8	13	0	1	4	1734	309	300+
2014_EEm_19_2,txt	argumentative	2	0.051	0.114	0.101	0.000	1	4.25	0.294117647	0.647058824	19	4	7	0	2	5	1598	263	250+
2014_EEm_20_2,txt	argumentative	2	0.025	0.075	0.063	0.038	1	4.5	0.394736842	0.578947368	13	2	10	0	7	8	1740	301	300+
2014_EEm_33_2,txt	argumentative	2	0.041	0.122	0.095	0.054	1	3.75	0.233333333	0.8	21	6	6	0	2	5	1537	257	250+
2014_EEm_36_2,txt	argumentative	2	0.030	0.076	0.030	0.091	1	3.25	0.375	0.9375	18	2	11	0	3	7	1726	298	250+
2014_EEm_38_2,txt	argumentative	2	0.035	0.012	0.070	0.023	1	5.25	0.457142857	0.714285714	12	4	13	0	6	5	1807	307	300+
2014_EPa_23_2,txt	argumentative	2	0.000	0.000	0.000	0.019	1	2.75	0.272727273	0.757575758	22	7	6	0	1	7	1504	277	250+
2014_EPa_29_2,txt	argumentative	2	0.000	0.089	0.044	0.033	1	3.25	0.377777778	0.533333333	21	7	12	0	0	11	1919	325	300+
2014_EPa_38_2,txt	argumentative	2	0.040	0.060	0.000	0.020	1	2.5	0.382352941	0.558823529	20	1	5	0	0	4	1129	201	200+
2014_EPa_39_2,txt	argumentative	2	0.038	0.076	0.076	0.076	1	4.5	0.321428571	0.714285714	15	6	5	0	4	5	1518	250	250+
2014_EPa_44_2,txt	argumentative	2	0.000	0.000	0.000	0.029	1	2.75	0.181818182	0.454545455	5	2	1	0	1	2	628	103	<150
2014_EPa_48_2,txt	argumentative	2	0.022	0.056	0.056	0.034	1	5.25	0.282051282	0.743589744	16	6	12	0	11	2	1665	276	250+
2014_EPa_51_2,txt	argumentative	2	0.075	0.022	0.043	0.011	1	6	0.558139535	0.186046512	11	4	9	0	1	1	1620	262	250+
2014_EPa_59_2,txt	argumentative	2	0.054	0.063	0.036	0.036	1	4.75	0.472727273	0.490909091	16	8	13	0	5	3	2299	381	350+
2014_EPa_60_2,txt	argumentative	2	0.056	0.056	0.019	0.056	1	2.75	0.347826087	0.47826087	23	6	8	0	1	3	1554	284	250+
2014_EPa_7_2,txt	argumentative	2	0.040	0.040	0.133	0.027	1	5	0.675675676	0.324324324	8	2	6	0	2	7	1527	252	250+
2014_EPa_73_2,txt	argumentative	2	0.045	0.106	0.045	0.061	1	2.5	0.59375	0.40625	11	2	8	0	1	3	1549	266	250+
2014_EPa_78_2,txt	argumentative	2	0.018	0.054	0.071	0.036	1	3.25	0.464285714	0.5	15	1	6	0	0	0	1452	259	250+
2014_EPa_82_2,txt	argumentative	2	0.093	0.140	0.000	0.093	1	1	0.236842105	0.684210526	28	3	5	0	2	5	1549	289	250+
2014_ESha_14_2,txt	argumentative	2	0.000	0.069	0.097	0.042	1	1	0.205882353	0.794117647	25	3	10	0	3	9	1708	310	300+
2014_ESha_23_2,txt	argumentative	2	0.000	0.107	0.107	0.018	1	5.25	0.444444444	0.666666667	16	5	5	0	4	8	1391	248	200+
2014_EZa_41_2,txt	argumentative	2	0.016	0.210	0.097	0.016	1	4.25	0.260869565	0.956521739	10	1	5	0	9	6	1622	281	250+
2014_KKo_24_2,txt	argumentative	2	0.011	0.148	0.091	0.011	1	3.5	0.230769231	0.512820513	22	10	5	0	2	3	1812	293	250+
2014_LPo_12_2,txt	argumentative	2	0.041	0.110	0.096	0.110	1	2.75	0.28125	0.96875	22	1	11	0	3	6	1917	348	300+
2014_LPo_20_2,txt	argumentative	2	0.020	0.040	0.080	0.080	1	2.75	0.259259259	0.62962963	18	0	4	0	4	6	1097	183	150+
2014_MGr_24_2,txt	argumentative	2	0.180	0.040	0.120	0.040	1	2.75	0.470588235	0.735294118	22	1	13	0	0	3	1392	262	250+
2014_VKo_2_2,txt	argumentative	2	0.041	0.110	0.055	0.041	1	4.5	0.105263158	0.815789474	22	7	12	0	11	2	1729	293	250+
